Active-HDL 10.3.3558.6081  2018-08-06 16:00:14

Elaboration top modules:
Verilog Module                Parallel2DSI_tb


----------------------------------------------------------------------------------------------------------
Verilog Module                    | Library     | Info | Compiler Version          | Compilation Options
byte_en_MGIOL                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
reset_n                           | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
data_type_5_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
data_type_4_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
data_type_3_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
data_type_2_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
data_type_1_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
data_type_0_                      | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
HSYNC_end                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
HSYNC_start                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
VSYNC_end                         | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
VSYNC_start                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
HSYNC                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
HSYNC_MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
VSYNC                             | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
VSYNC_MGIOL                       | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_31_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_30_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_29_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_28_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_27_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_26_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_25_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_24_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_23_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
byte_data_22_                     | work        |      | 10.3.3558.6081  (Windows) | -O2 -sv2k12
